name: bbc0585a-d96f-498a-b97a-17c7828cba9e num_items: 61056
token, class_id, token_value, token_tf, token_df
кавказзакавказье, @default_class, 2.7941073312831577e-06, 20.0, 14.0
бойлер, @default_class, 1.3970536656415788e-06, 10.0, 4.0
меджидлить, @default_class, 1.3970536656415788e-06, 10.0, 3.0
савчин, @default_class, 1.3970536656415788e-06, 10.0, 2.0
шурман, @default_class, 1.3970536656415788e-06, 10.0, 1.0
каркарашвили, @default_class, 1.5367591004178394e-06, 11.0, 6.0
фярд, @default_class, 2.3749912543280516e-06, 17.0, 10.0
звукоинженер, @default_class, 1.3970536656415788e-06, 10.0, 10.0
сушенковы, @default_class, 2.3749912543280516e-06, 17.0, 11.0
маерманов, @default_class, 1.5367591004178394e-06, 11.0, 4.0
нестерчук, @default_class, 1.5367591004178394e-06, 11.0, 2.0
тебуев, @default_class, 2.514696689104312e-06, 18.0, 5.0
сагаев, @default_class, 3.0735182008356787e-06, 22.0, 3.0
баткуашвили, @default_class, 1.3970536656415788e-06, 10.0, 4.0
скикас, @default_class, 2.095580612149206e-06, 15.0, 4.0
лауринкус, @default_class, 2.095580612149206e-06, 15.0, 4.0
сирош, @default_class, 1.9558751773729455e-06, 14.0, 3.0
хаиров, @default_class, 1.6764644215072622e-06, 12.0, 4.0
азнавура, @default_class, 2.095580612149206e-06, 15.0, 6.0
кацуба, @default_class, 1.5367591004178394e-06, 11.0, 2.0
снр, @default_class, 1.8161698562835227e-06, 13.0, 5.0
зеленополье, @default_class, 1.8161698562835227e-06, 13.0, 6.0
спирс, @default_class, 1.3970536656415788e-06, 10.0, 3.0
хурцидзе, @default_class, 1.5367591004178394e-06, 11.0, 4.0
надыршина, @default_class, 1.3970536656415788e-06, 10.0, 3.0
цимпфер, @default_class, 1.9558751773729455e-06, 14.0, 7.0
шакрыло, @default_class, 1.3970536656415788e-06, 10.0, 8.0
инана, @default_class, 1.5367591004178394e-06, 11.0, 3.0
отанадзе, @default_class, 5.029393378208624e-06, 36.0, 16.0
внутриукраинск, @default_class, 1.5367591004178394e-06, 11.0, 11.0
шаройкий, @default_class, 1.6764644215072622e-06, 12.0, 4.0
добротвор, @default_class, 1.5367591004178394e-06, 11.0, 3.0
хасселхофф, @default_class, 2.933812766059418e-06, 21.0, 6.0
gang, @default_class, 1.9558751773729455e-06, 14.0, 6.0
bloodhound, @default_class, 1.9558751773729455e-06, 14.0, 6.0
владимир_бортко, @default_class, 1.3970536656415788e-06, 10.0, 5.0
российскопольский, @default_class, 1.5367591004178394e-06, 11.0, 11.0
калинкин, @default_class, 1.5367591004178394e-06, 11.0, 5.0
нкрс, @default_class, 1.3970536656415788e-06, 10.0, 2.0
будяк, @default_class, 1.5367591004178394e-06, 11.0, 4.0
