name: 2c5d3baa-6e84-4d1c-8c5f-7b07cd0900a4 num_items: 71951
token, class_id, token_value, token_tf, token_df
кулич, @default_class, 1.439526045032835e-06, 12.0, 4.0
приехали_ный, @default_class, 1.7994075278693344e-06, 15.0, 15.0
midway, @default_class, 1.3195655128583894e-06, 11.0, 2.0
обиуха, @default_class, 1.6794471093817265e-06, 14.0, 3.0
петросоюз, @default_class, 1.1996050943707814e-06, 10.0, 2.0
минизаём, @default_class, 1.1996050943707814e-06, 10.0, 3.0
cadogan, @default_class, 1.91936806004378e-06, 16.0, 4.0
бетанкур, @default_class, 1.3195655128583894e-06, 11.0, 3.0
eoc, @default_class, 1.1996050943707814e-06, 10.0, 2.0
мангистаумунайгаз, @default_class, 1.1996050943707814e-06, 10.0, 4.0
amerco, @default_class, 1.1996050943707814e-06, 10.0, 1.0
чельцов, @default_class, 1.1996050943707814e-06, 10.0, 6.0
чесноков, @default_class, 1.439526045032835e-06, 12.0, 2.0
beate, @default_class, 1.1996050943707814e-06, 10.0, 2.0
юдин, @default_class, 2.1592891243926715e-06, 18.0, 4.0
carrera, @default_class, 1.439526045032835e-06, 12.0, 2.0
kmart, @default_class, 1.439526045032835e-06, 12.0, 2.0
каховскай, @default_class, 1.7994075278693344e-06, 15.0, 4.0
жол, @default_class, 1.1996050943707814e-06, 10.0, 8.0
icsid, @default_class, 1.1996050943707814e-06, 10.0, 3.0
укравтодор, @default_class, 1.3195655128583894e-06, 11.0, 10.0
траулько, @default_class, 1.1996050943707814e-06, 10.0, 5.0
четыресемь, @default_class, 1.3195655128583894e-06, 11.0, 11.0
faberge, @default_class, 1.439526045032835e-06, 12.0, 2.0
цд, @default_class, 1.1996050943707814e-06, 10.0, 3.0
mansion, @default_class, 1.1996050943707814e-06, 10.0, 3.0
нефтьактив, @default_class, 4.318578248785343e-06, 36.0, 20.0
манцони, @default_class, 1.1996050943707814e-06, 10.0, 2.0
юнитекс, @default_class, 3.7187755879131146e-06, 31.0, 15.0
wimpey, @default_class, 1.1996050943707814e-06, 10.0, 2.0
secret, @default_class, 1.3195655128583894e-06, 11.0, 3.0
новошип, @default_class, 1.5594865772072808e-06, 13.0, 4.0
петромиро, @default_class, 1.91936806004378e-06, 16.0, 3.0
ангароленский, @default_class, 1.439526045032835e-06, 12.0, 3.0
wikileaks, @default_class, 1.7994075278693344e-06, 15.0, 11.0
интергео, @default_class, 2.399210188741563e-06, 20.0, 3.0
мукачево, @default_class, 1.1996050943707814e-06, 10.0, 3.0
nog, @default_class, 1.439526045032835e-06, 12.0, 4.0
sentinel, @default_class, 1.1996050943707814e-06, 10.0, 4.0
sunrise, @default_class, 1.439526045032835e-06, 12.0, 3.0
центросоюз, @default_class, 2.279249656567117e-06, 19.0, 3.0
галлуа, @default_class, 1.439526045032835e-06, 12.0, 10.0
zarafshannewmont, @default_class, 1.439526045032835e-06, 12.0, 4.0
церен, @default_class, 1.1996050943707814e-06, 10.0, 6.0
мурак, @default_class, 1.3195655128583894e-06, 11.0, 4.0
аршавино, @default_class, 1.3195655128583894e-06, 11.0, 3.0
снилс, @default_class, 1.91936806004378e-06, 16.0, 10.0
микрокредитный, @default_class, 1.1996050943707814e-06, 10.0, 8.0
локшина, @default_class, 1.1996050943707814e-06, 10.0, 6.0
ntp, @default_class, 1.1996050943707814e-06, 10.0, 2.0
перро, @default_class, 1.5594865772072808e-06, 13.0, 3.0
tokyomitsubishi, @default_class, 2.1592891243926715e-06, 18.0, 9.0
oregon, @default_class, 1.439526045032835e-06, 12.0, 6.0
ффомс, @default_class, 1.3195655128583894e-06, 11.0, 5.0
вестер, @default_class, 1.91936806004378e-06, 16.0, 6.0
bigboard, @default_class, 1.6794471093817265e-06, 14.0, 2.0
эсу, @default_class, 1.7994075278693344e-06, 15.0, 4.0
баня, @default_class, 1.439526045032835e-06, 12.0, 11.0
темниченко, @default_class, 1.1996050943707814e-06, 10.0, 7.0
mills, @default_class, 1.91936806004378e-06, 16.0, 9.0
уралфинпромбанк, @default_class, 1.7994075278693344e-06, 15.0, 9.0
урина, @default_class, 5.638143647956895e-06, 47.0, 14.0
матвей, @default_class, 2.519170493542333e-06, 21.0, 16.0
northfinance, @default_class, 4.318578248785343e-06, 36.0, 36.0
россвязьнадзор, @default_class, 1.439526045032835e-06, 12.0, 6.0
юрубченский, @default_class, 1.439526045032835e-06, 12.0, 6.0
rexton, @default_class, 1.1996050943707814e-06, 10.0, 4.0
ехануров, @default_class, 1.91936806004378e-06, 16.0, 13.0
leta, @default_class, 1.3195655128583894e-06, 11.0, 5.0
лопуховский, @default_class, 1.91936806004378e-06, 16.0, 5.0
атипичный, @default_class, 1.3195655128583894e-06, 11.0, 10.0
центрстроить, @default_class, 1.1996050943707814e-06, 10.0, 5.0
nfc, @default_class, 1.5594865772072808e-06, 13.0, 5.0
биткоинбиржа, @default_class, 1.5594865772072808e-06, 13.0, 9.0
barron, @default_class, 1.3195655128583894e-06, 11.0, 8.0
johnston, @default_class, 1.7994075278693344e-06, 15.0, 4.0
cointreau, @default_class, 2.279249656567117e-06, 19.0, 6.0
бордель, @default_class, 1.7994075278693344e-06, 15.0, 4.0
охлобыстина, @default_class, 2.279249656567117e-06, 19.0, 4.0
randa, @default_class, 1.5594865772072808e-06, 13.0, 4.0
miu, @default_class, 1.6794471093817265e-06, 14.0, 7.0
eviterra, @default_class, 9.476880222791806e-06, 79.0, 15.0
eviterracom, @default_class, 3.7187755879131146e-06, 31.0, 13.0
typo, @default_class, 1.1996050943707814e-06, 10.0, 1.0
джанкой, @default_class, 1.439526045032835e-06, 12.0, 8.0
самообеспеченность, @default_class, 1.1996050943707814e-06, 10.0, 8.0
sanoma, @default_class, 2.399210188741563e-06, 20.0, 3.0
mufj, @default_class, 1.1996050943707814e-06, 10.0, 3.0
фотограф, @default_class, 1.1996050943707814e-06, 10.0, 8.0
diesel, @default_class, 1.1996050943707814e-06, 10.0, 4.0
lang, @default_class, 1.1996050943707814e-06, 10.0, 8.0
satyam, @default_class, 2.999012622240116e-06, 25.0, 7.0
cline, @default_class, 1.439526045032835e-06, 12.0, 6.0
бек, @default_class, 1.1996050943707814e-06, 10.0, 3.0
барский, @default_class, 5.75810418013134e-06, 48.0, 18.0
грилль, @default_class, 1.3195655128583894e-06, 11.0, 5.0
смаг, @default_class, 2.1592891243926715e-06, 18.0, 4.0
заглушить, @default_class, 1.1996050943707814e-06, 10.0, 9.0
азар, @default_class, 1.5594865772072808e-06, 13.0, 6.0
викефрейберг, @default_class, 1.1996050943707814e-06, 10.0, 4.0
spasx, @default_class, 1.5594865772072808e-06, 13.0, 13.0
dfs, @default_class, 1.1996050943707814e-06, 10.0, 3.0
micex, @default_class, 1.1996050943707814e-06, 10.0, 3.0
андюрана, @default_class, 1.5594865772072808e-06, 13.0, 12.0
дублон, @default_class, 1.439526045032835e-06, 12.0, 3.0
woodford, @default_class, 1.3195655128583894e-06, 11.0, 11.0
ea, @default_class, 1.5594865772072808e-06, 13.0, 6.0
макдональд, @default_class, 1.7994075278693344e-06, 15.0, 8.0
buycom, @default_class, 1.439526045032835e-06, 12.0, 3.0
elephant, @default_class, 3.1189731544145616e-06, 26.0, 12.0
сократеш, @default_class, 1.6794471093817265e-06, 14.0, 9.0
ipv, @default_class, 1.3195655128583894e-06, 11.0, 2.0
дек, @default_class, 1.7994075278693344e-06, 15.0, 5.0
perot, @default_class, 1.91936806004378e-06, 16.0, 3.0
pride, @default_class, 2.399210188741563e-06, 20.0, 5.0
pilgrim, @default_class, 2.039328592218226e-06, 17.0, 4.0
netbynet, @default_class, 1.1996050943707814e-06, 10.0, 4.0
