name: corpus_dictionary num_items: 48679
token, class_id, token_value, token_tf, token_df
предъявляться, @default_class, 1.8566768176242476e-06, 10.0, 10.0
переодетый, @default_class, 2.4136797946994193e-06, 13.0, 12.0
сарри, @default_class, 3.527685976223438e-06, 19.0, 10.0
призывный, @default_class, 2.7850151127495337e-06, 15.0, 11.0
побояться, @default_class, 2.228012135674362e-06, 12.0, 11.0
задумать, @default_class, 2.4136797946994193e-06, 13.0, 13.0
гуренко, @default_class, 2.5993474537244765e-06, 14.0, 13.0
xi, @default_class, 2.042344476649305e-06, 11.0, 10.0
клаудиа, @default_class, 2.5993474537244765e-06, 14.0, 10.0
поливать, @default_class, 2.4136797946994193e-06, 13.0, 13.0
трактовка, @default_class, 1.8566768176242476e-06, 10.0, 10.0
радивой, @default_class, 2.042344476649305e-06, 11.0, 10.0
латиноамериканский, @default_class, 2.7850151127495337e-06, 15.0, 14.0
навестить, @default_class, 2.9706829991482664e-06, 16.0, 15.0
body, @default_class, 2.9706829991482664e-06, 16.0, 11.0
обожать, @default_class, 2.042344476649305e-06, 11.0, 10.0
персонально, @default_class, 1.8566768176242476e-06, 10.0, 10.0
издатель, @default_class, 2.228012135674362e-06, 12.0, 10.0
шарик, @default_class, 4.270356839697342e-06, 23.0, 10.0
неолимпийский, @default_class, 2.228012135674362e-06, 12.0, 12.0
механический, @default_class, 1.8566768176242476e-06, 10.0, 10.0
financial, @default_class, 2.5993474537244765e-06, 14.0, 12.0
совокупный, @default_class, 2.9706829991482664e-06, 16.0, 16.0
проспать, @default_class, 5.013027475797571e-06, 27.0, 23.0
переизбрание, @default_class, 6.684036634396762e-06, 36.0, 36.0
улеб, @default_class, 1.15113962237956e-05, 62.0, 50.0
госпрограмма, @default_class, 2.4136797946994193e-06, 13.0, 13.0
янис, @default_class, 4.270356839697342e-06, 23.0, 21.0
фхмр, @default_class, 5.7556981118978e-06, 31.0, 19.0
сгонка, @default_class, 7.055371952446876e-06, 38.0, 31.0
вёдро, @default_class, 2.228012135674362e-06, 12.0, 10.0
сергей_шойгу, @default_class, 3.342018317198381e-06, 18.0, 18.0
изготовление, @default_class, 4.08468895329861e-06, 22.0, 21.0
зарплатный, @default_class, 2.7850151127495337e-06, 15.0, 12.0
инвалидный, @default_class, 3.899021066899877e-06, 21.0, 19.0
аргументировать, @default_class, 2.228012135674362e-06, 12.0, 12.0
джинепереть, @default_class, 1.8566768176242476e-06, 10.0, 10.0
сайтий, @default_class, 4.08468895329861e-06, 22.0, 10.0
ватерпольный, @default_class, 2.042344476649305e-06, 11.0, 11.0
технологический, @default_class, 2.7850151127495337e-06, 15.0, 14.0
петржела, @default_class, 8.355045792995952e-06, 45.0, 41.0
флеминг, @default_class, 6.8697040660481434e-06, 37.0, 16.0
бурухин, @default_class, 2.7850151127495337e-06, 15.0, 13.0
арагонес, @default_class, 4.270356839697342e-06, 23.0, 18.0
мальчишка, @default_class, 3.7133536352484953e-06, 20.0, 20.0
работоспособность, @default_class, 2.4136797946994193e-06, 13.0, 13.0
тон, @default_class, 8.355045792995952e-06, 45.0, 43.0
стенка, @default_class, 1.318240538239479e-05, 71.0, 65.0
аналитика, @default_class, 5.384362793847686e-06, 29.0, 23.0
youtube, @default_class, 0.00018232566071674228, 982.0, 964.0
четвертовать, @default_class, 5.514330041478388e-05, 297.0, 292.0
надаля, @default_class, 2.3394128220388666e-05, 126.0, 102.0
вызывающий, @default_class, 2.7850151127495337e-06, 15.0, 14.0
повысить, @default_class, 1.5224749404296745e-05, 82.0, 82.0
омоложение, @default_class, 3.527685976223438e-06, 19.0, 18.0
леонард, @default_class, 6.312701316346647e-06, 34.0, 30.0
аррон, @default_class, 2.042344476649305e-06, 11.0, 10.0
мирошниченко, @default_class, 3.527685976223438e-06, 19.0, 10.0
дополнять, @default_class, 2.042344476649305e-06, 11.0, 11.0
хоу, @default_class, 1.1140060450998135e-05, 60.0, 28.0
промоутер, @default_class, 4.678825644077733e-05, 252.0, 225.0
уступка, @default_class, 5.941365998296533e-06, 32.0, 29.0
брондбь, @default_class, 4.827359589398839e-06, 26.0, 21.0
max, @default_class, 2.228012135674362e-06, 12.0, 11.0
бланко, @default_class, 4.641692157747457e-06, 25.0, 22.0
приглашаться, @default_class, 1.8566768176242476e-06, 10.0, 10.0
общемто, @default_class, 1.8566768176242476e-06, 10.0, 10.0
обезопасить, @default_class, 2.4136797946994193e-06, 13.0, 13.0
лилль, @default_class, 4.474590969039127e-05, 241.0, 150.0
осень, @default_class, 7.612374611198902e-05, 410.0, 388.0
обработка, @default_class, 2.228012135674362e-06, 12.0, 11.0
вейра, @default_class, 2.7850151127495337e-06, 15.0, 10.0
ярошик, @default_class, 1.0211722837993875e-05, 55.0, 32.0
cr, @default_class, 3.527685976223438e-06, 19.0, 12.0
суасо, @default_class, 2.7850151127495337e-06, 15.0, 12.0
хьюиттом, @default_class, 3.342018317198381e-06, 18.0, 16.0
сопоставимый, @default_class, 2.5993474537244765e-06, 14.0, 14.0
henin, @default_class, 2.9706829991482664e-06, 16.0, 16.0
добро, @default_class, 9.469051292398944e-06, 51.0, 48.0
тотьмянина, @default_class, 1.633875581319444e-05, 88.0, 54.0
хоана, @default_class, 2.228012135674362e-06, 12.0, 10.0
матчеоткрытие, @default_class, 2.4136797946994193e-06, 13.0, 13.0
фрелунд, @default_class, 3.1563506581733236e-06, 17.0, 14.0
диак, @default_class, 8.540713679394685e-06, 46.0, 23.0
бреннана, @default_class, 6.8697040660481434e-06, 37.0, 21.0
предосторожность, @default_class, 3.7133536352484953e-06, 20.0, 20.0
младный, @default_class, 2.042344476649305e-06, 11.0, 11.0
година, @default_class, 3.899021066899877e-06, 21.0, 15.0
ален, @default_class, 3.917588037438691e-05, 211.0, 194.0
феттеля, @default_class, 2.4136797946994193e-06, 13.0, 11.0
югозапад, @default_class, 2.042344476649305e-06, 11.0, 11.0
литовский, @default_class, 4.214656291878782e-05, 227.0, 176.0
щенник, @default_class, 9.283384315494914e-06, 50.0, 44.0
учёный, @default_class, 1.3368073268793523e-05, 72.0, 53.0
динамо, @default_class, 0.0013332796515896916, 7181.0, 3460.0
маккаби, @default_class, 5.3657960961572826e-05, 289.0, 192.0
обученный, @default_class, 2.042344476649305e-06, 11.0, 11.0
йонас, @default_class, 1.2439734746294562e-05, 67.0, 65.0
клаудия, @default_class, 4.456024271348724e-06, 24.0, 23.0
смягчить, @default_class, 9.654719178797677e-06, 52.0, 49.0
помеха, @default_class, 3.342018317198381e-06, 18.0, 18.0
артистизм, @default_class, 5.7556981118978e-06, 31.0, 28.0
доан, @default_class, 2.228012135674362e-06, 12.0, 11.0
позитивно, @default_class, 2.7850151127495337e-06, 15.0, 15.0
ткачук, @default_class, 4.641692157747457e-06, 25.0, 14.0
истечь, @default_class, 3.45341868523974e-05, 186.0, 185.0
чорлука, @default_class, 5.5700302254990675e-06, 30.0, 22.0
сервер, @default_class, 4.08468895329861e-06, 22.0, 16.0
круз, @default_class, 4.827359589398839e-06, 26.0, 16.0
апрельский, @default_class, 3.527685976223438e-06, 19.0, 19.0
доказывать, @default_class, 1.5224749404296745e-05, 82.0, 82.0
доставаться, @default_class, 6.498368747998029e-06, 35.0, 35.0
ффу, @default_class, 4.4931577576790005e-05, 242.0, 116.0
преимущественно, @default_class, 2.9706829991482664e-06, 16.0, 16.0
гленна, @default_class, 3.1563506581733236e-06, 17.0, 17.0
почтовый, @default_class, 2.228012135674362e-06, 12.0, 10.0
секретарить, @default_class, 1.8566768630989827e-05, 100.0, 92.0
крупный, @default_class, 0.00028815623954869807, 1552.0, 1470.0
опухоль, @default_class, 8.355045792995952e-06, 45.0, 37.0
федецкий, @default_class, 2.5993474537244765e-06, 14.0, 10.0
уингз, @default_class, 1.541041820019018e-05, 83.0, 65.0
икс, @default_class, 2.7850151127495337e-06, 15.0, 15.0
исполняться, @default_class, 5.941365998296533e-06, 32.0, 29.0
приблизительный, @default_class, 2.9706829991482664e-06, 16.0, 16.0
вячеслав_фетис, @default_class, 5.068727841717191e-05, 273.0, 227.0
обратиться, @default_class, 0.00016970025899354368, 914.0, 868.0
супермаркет, @default_class, 4.641692157747457e-06, 25.0, 20.0
опасаться, @default_class, 2.859282358258497e-05, 154.0, 151.0
альхалиф, @default_class, 3.1563506581733236e-06, 17.0, 15.0
дозаправка, @default_class, 4.08468895329861e-06, 22.0, 18.0
сумо, @default_class, 1.0397389814897906e-05, 56.0, 24.0
феникс, @default_class, 2.4136797946994193e-06, 13.0, 10.0
эллисон, @default_class, 2.9706829991482664e-06, 16.0, 14.0
лаюнить, @default_class, 3.7133536352484953e-06, 20.0, 11.0
каталония, @default_class, 2.8221487809787504e-05, 152.0, 95.0
хамить, @default_class, 2.7850151127495337e-06, 15.0, 14.0
клири, @default_class, 2.7850151127495337e-06, 15.0, 12.0
олд, @default_class, 2.710748049139511e-05, 146.0, 115.0
mighty, @default_class, 2.4136797946994193e-06, 13.0, 10.0
непогода, @default_class, 3.7133536352484953e-06, 20.0, 19.0
nicolas, @default_class, 2.5993474537244765e-06, 14.0, 14.0
прозрачный, @default_class, 5.198694907448953e-06, 28.0, 25.0
китцбюэль, @default_class, 3.527685976223438e-06, 19.0, 16.0
отечь, @default_class, 2.4136797946994193e-06, 13.0, 12.0
мотылевый, @default_class, 1.8566768176242476e-06, 10.0, 10.0
количество, @default_class, 0.00033401616383343935, 1799.0, 1611.0
бузер, @default_class, 9.84038706519641e-06, 53.0, 45.0
